HJD	Mag	Band
2459740.18583 	-2.509 	B
2459740.18855 	-2.554 	B
2459740.19126 	-2.493 	B
2459740.19398 	-2.475 	B
2459740.19670 	-2.477 	B
2459740.19940 	-2.423 	B
2459740.20212 	-2.414 	B
2459740.20484 	-2.409 	B
2459740.20755 	-2.414 	B
2459740.21026 	-2.357 	B
2459740.21298 	-2.363 	B
2459740.21569 	-2.349 	B
2459740.21841 	-2.334 	B
2459740.22382 	-2.316 	B
2459740.22654 	-2.271 	B
2459740.22925 	-2.219 	B
2459740.23197 	-2.240 	B
2459740.25098 	-2.258 	B
2459740.25640 	-2.264 	B
2459740.26041 	-2.236 	B
2459740.26313 	-2.225 	B
2459740.26585 	-2.237 	B
2459740.26856 	-2.284 	B
2459740.27127 	-2.315 	B
2459740.27398 	-2.337 	B
2459740.27669 	-2.368 	B
2459740.27941 	-2.381 	B
2459740.28213 	-2.442 	B
2459740.28484 	-2.418 	B
2459740.28755 	-2.403 	B
2459740.29027 	-2.459 	B
2459740.29298 	-2.439 	B
2459740.29570 	-2.477 	B
2459740.29841 	-2.506 	B
2459740.30113 	-2.526 	B
2459740.30385 	-2.540 	B
2459740.30655 	-2.559 	B
2459740.30927 	-2.575 	B
2459740.31198 	-2.572 	B
2459740.31741 	-2.570 	B
2459740.32013 	-2.576 	B
2459740.32285 	-2.625 	B
2459740.32828 	-2.597 	B
2459740.33099 	-2.594 	B
2459740.33371 	-2.618 	B
2459740.33641 	-2.645 	B
2459740.33913 	-2.628 	B
2459740.34185 	-2.650 	B
2459740.34727 	-2.615 	B
2459740.34999 	-2.621 	B
2459740.35271 	-2.590 	B
2459740.36085 	-2.600 	B
2459740.36627 	-2.606 	B
2459740.37442 	-2.565 	B
2459740.37713 	-2.554 	B
2459740.37985 	-2.541 	B
2459740.38256 	-2.572 	B
2459740.39071 	-2.516 	B
2459740.39343 	-2.524 	B
2459740.40481 	-2.424 	B
2459740.42109 	-2.290 	B
2459740.44551 	-2.277 	B
2459744.17126 	-2.568 	B
2459744.17536 	-2.513 	B
2459744.17947 	-2.493 	B
2459744.18358 	-2.495 	B
2459744.18770 	-2.486 	B
2459744.19181 	-2.496 	B
2459744.19591 	-2.482 	B
