HJD(2400000+)	&	Error	&	Min	&	E	&	O-C	&	Ref	&	HJD(2400000+)	&	Error	&	Min	&	E	&	O-C	&	Ref
51291.83390 	&	0.00040 	&	P	&	-12398	&	0.024684 	&	(1)	&	58977.76966 	&	0.00012 	&	S	&	7793	&	0.031371 	&	(28)
51305.73100 	&	0.00020 	&	S	&	-12361.5	&	0.027652 	&	(1)	&	58977.96056 	&	0.00015 	&	S	&	7793.5	&	0.031940 	&	(28)
52360.53210 	&	0.00080 	&	S	&	-9590.5	&	0.016733 	&	(1)	&	58978.15028 	&	0.00011 	&	P	&	7794	&	0.031330 	&	(28)
52365.47920 	&	0.00090 	&	S	&	-9577.5	&	0.015238 	&	(1)	&	58978.34114 	&	0.00015 	&	S	&	7794.5	&	0.031859 	&	(28)
52368.34100 	&	0.00060 	&	P	&	-9570	&	0.022080 	&	(1)	&	58978.53078 	&	0.00012 	&	P	&	7795	&	0.031168 	&	(28)
52368.52760 	&	0.00120 	&	S	&	-9569.5	&	0.018349 	&	(1)	&	58978.72195 	&	0.00015 	&	S	&	7795.5	&	0.032008 	&	(28)
52395.36390 	&	0.00210 	&	P	&	-9499	&	0.018039 	&	(1)	&	58978.91167 	&	0.00012 	&	P	&	7796	&	0.031397 	&	(28)
52395.55230 	&	0.00240 	&	S	&	-9498.5	&	0.016108 	&	(1)	&	58979.10262 	&	0.00015 	&	S	&	7796.5	&	0.032017 	&	(28)
52409.44590 	&	0.00040 	&	P	&	-9462	&	0.015577 	&	(1)	&	58979.29235 	&	0.00012 	&	P	&	7797	&	0.031416 	&	(28)
52415.53580 	&	0.00080 	&	P	&	-9446	&	0.014898 	&	(1)	&	58979.48319 	&	0.00016 	&	S	&	7797.5	&	0.031926 	&	(28)
52835.40360 	&	0.00060 	&	P	&	-8343	&	0.013461 	&	(2)	&	58979.67289 	&	0.00012 	&	P	&	7798	&	0.031295 	&	(28)
53216.44090 	&	0.00170 	&	P	&	-7342	&	0.008960 	&	(3)	&	58979.86409 	&	0.00016 	&	S	&	7798.5	&	0.032164 	&	(28)
53541.52350 	&	0.00050 	&	P	&	-6488	&	0.006946 	&	(3)	&	58980.05363 	&	0.00012 	&	P	&	7799	&	0.031374 	&	(28)
